PropertyAddress,Latitude,Longitude,
"Road No. 1, New Delhi, India",28.539886,77.241226,success
PropertyAddress,failed,failed,failed
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Front field, New Delhi, India",28.540912,77.20126,doubt
"Naveen Cars, Naveen Properties, New Delhi, India",28.540453,77.234585,doubt
"Govt. Wine & Beer Shop, New Delhi, India",28.540429,77.234552,doubt
"House No. B-4/22 SAFDARJUNG ENCLAVE ND,Safdarjung Enclave",failed,failed,failed
"SFS Category 1 Flats Park, New Delhi, India",28.5385,77.217563,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"118 NIT, New Delhi, India",28.566848,77.199053,success
"269 NIT, New Delhi, India",28.568429,77.19881,success
"House No. B-7/84 EXTN SF,Safdarjung Enclave",failed,failed,failed
"Senior School Ground, New Delhi, India",28.596323,77.226277,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"5th Cross Road, New Delhi, India",28.573017,77.194501,doubt
"Sector 6, Noida, India",28.593278,77.319101,doubt
"Africa Avenue, New Delhi, India",28.566472,77.189656,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"House No. DDA FLAT NO 117,Safdarjung Enclave",failed,failed,failed
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"118 NIT, New Delhi, India",28.566848,77.199053,success
"Soami Nagar, New Delhi, India",28.542344,77.224797,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"DDA Park, Noida, India",28.59947,77.31283,doubt
"Naveen Cars, Naveen Properties, New Delhi, India",28.540453,77.234585,doubt
"SFS Category 1 Flats Park, New Delhi, India",28.5385,77.217563,success
"House No. B-4/24 SF,Safdarjung Enclave",failed,failed,failed
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"House No. B-4/138 SF,Safdarjung Enclave",failed,failed,failed
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"House No. PROP NO B-4/3 3RD FLOOR,Safdarjung Enclave",failed,failed,failed
"House No. B-4/3 SF,Safdarjung Enclave",failed,failed,failed
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"SFS Category 1 Flats Park, New Delhi, India",28.5385,77.217563,success
